Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,07,项,dummy,항목,hotel_lesson_07_word_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,08,按,dummy,~에 의거하여. 〜에 따라서. 〜에 준하여 / (손이나 손가락 등으로) 누르다,hotel_lesson_07_word_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,09,收取,dummy,"수취하다, 받다",hotel_lesson_07_word_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,10,忘记,dummy,"(예전에 겪었던 일을) 잊어버리다, 기억하지 못하다. 망각(忘却)하다",hotel_lesson_07_word_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,01,欢迎光临！请问几位？,dummy,어서 오세요! 몇 분이신가요?,hotel_lesson_08_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,02,两个人。,dummy,두 사람이요.,hotel_lesson_08_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,03,请坐。请问想吃点什么？,dummy,앉으세요. 무엇을 드시겠어요?,hotel_lesson_08_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,04,请给我看一下菜单，好吗？,dummy,메뉴판 좀 주시겠어요?,hotel_lesson_08_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,05,给您。,dummy,여기 있습니다.,hotel_lesson_08_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,06,菜的种类还真不少！,dummy,요리 종류가 정말 많네요!,hotel_lesson_08_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,07,请问，您想点什么菜？,dummy,손님，어떤 요리로 드시겠습니까?,hotel_lesson_08_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,08,这里的特色菜是什么？,dummy,여기 특산요리가 무엇인가요?,hotel_lesson_08_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,09,我们 的 四川菜很有名，鱼香肉丝和 麻婆豆腐 都是我们的特色菜。,dummy,저희 사천요리는 매우 유명합니다. 위쌍로우쓰와 마파두부 둘 다 저희 사천 지역의 특색요리입니다.,hotel_lesson_08_conv_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,10,好的。那就点这两个吧。,dummy,좋습니다. 그 두 개로 할게요.,hotel_lesson_08_conv_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,11,但是这两个菜都有些辣，请问您能吃辣的吗？,dummy,근데 이 두 요리 모두 좀 매운데，매운 것 잘 드시나요?,hotel_lesson_08_conv_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,회화,12,没关系，我们都喜欢辣。,dummy,괜찮습니다. 저희 모두 매운 거 좋아해요.,hotel_lesson_08_conv_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,01,菜单,dummy,"(음식점에서 식사 주문 시 제공하는)식단 차림표, 메뉴",hotel_lesson_08_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,02,种类,dummy,종류(種類),hotel_lesson_08_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,03,真,dummy,"진실(眞實)하다, 참되다. 사실이다",hotel_lesson_08_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,04,特色,dummy,특색(特色)，특징(特徴),hotel_lesson_08_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,05,菜,dummy,"음식, 요리",hotel_lesson_08_word_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,06,四川,dummy,사천,hotel_lesson_08_word_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,07,有名,dummy,유명(有名)하다.,hotel_lesson_08_word_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,08,麻婆豆腐,dummy,마파두부,hotel_lesson_08_word_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,09,辣,dummy,맵다.  매운 맛,hotel_lesson_08_word_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,단어,10,有些,dummy,"일부(분), 어떤 것",hotel_lesson_08_word_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,01,您好！我想买一张8月5号到韩国的飞机票。,dummy,안녕하세요! 8월 5일날 한국에 가는 비행기표를 구입하려고 하는데요.,airport_lesson_01_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,02,请问要买哪家航空公司的？,dummy,어느 항공사를 이용하실 건가요?,airport_lesson_01_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,03,大韩航空公司的。,dummy,대한항공이요.,airport_lesson_01_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,04,您想几点钟出发？,dummy,몇 시에 출발하실건가요?,airport_lesson_01_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,05,有上午的航班吗？,dummy,오전에 비행편이 있나요?,airport_lesson_01_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,06,有的，上午9点起飞可以吗？,dummy,네，있습니다. 오전 9시 출발인데 괜찮으신가요?,airport_lesson_01_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,07,好的，帮我订一张。,dummy,네，한 자리 예약해주세요.,airport_lesson_01_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,회화,08,请留下您的姓名和护照号码。,dummy,성함과 여권번호를 말씀해 주세요.,airport_lesson_01_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,단어,01,航空,dummy,"항공(航空)과 관련있는, 항공의",airport_lesson_01_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,단어,02,出发,dummy,출발하다,airport_lesson_01_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,단어,03,航班,dummy,(여객기나 여객선의) 정기편(定期便),airport_lesson_01_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,단어,04,起飞,dummy,"(비행기나 로켓 등이) 이륙(離陸)하다, 떠오르다, 날아 오르다",airport_lesson_01_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,단어,05,号码,dummy,"번호, 사이즈(size), 호수(號數)",airport_lesson_01_word_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,회화,01,您好！东方航空公司星期六到韩国的飞机票还有吗？,dummy,안녕하세요! 토요일에 한국으로 가는 동방항공 비행기표 있나요?,airport_lesson_02_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,회화,02,有的，请出示您的护照。,dummy,네，있습니다. 여권 좀 보여 주시겠어요.,airport_lesson_02_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,회화,03,给您。,dummy,여기 있습니다.,airport_lesson_02_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,회화,04,请问您一个人吗？,dummy,혼자가시는 건가요?,airport_lesson_02_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
